policy,objective,objective_lo,objective_hi,terminal_loss,terminal_loss_lo,terminal_loss_hi,error,error_lo,error_hi,coverage,coverage_lo,coverage_hi,unsafe90,unsafe90_lo,unsafe90_hi,cost,cost_lo,cost_hi,latency,latency_lo,latency_hi,calls,calls_lo,calls_hi,batches,batches_lo,batches_hi,selective_accuracy,selective_accuracy_lo,selective_accuracy_hi
C1_single,0.9534728425000001,0.9500424513581183,0.9569032336418819,0.8585516249999999,0.8544973260178118,0.862605923982188,0.14755999999999997,0.13011084931836553,0.1650091506816344,0.581335,0.5229233855768354,0.6397466144231647,0.0,0.0,0.0,0.6619476249999998,0.6451623606884588,0.6787328893115409,0.7181613750000001,0.7069162876764087,0.7294064623235915,1.0,1.0,1.0,1.0,1.0,1.0,0.7482394740352948,0.7430183831023407,0.7534605649682489
C2_fixed3,1.0076051350000002,1.0038920026849025,1.0113182673150978,0.755100875,0.7512008162127876,0.7590009337872125,0.12362999999999999,0.11953105489722829,0.1277289451027717,0.6202750000000001,0.6089183597828163,0.631631640217184,0.00539,0.004803255349940062,0.005976744650059937,2.1625354999999997,2.152109593354673,2.1729614066453267,0.9062677499999999,0.9010547966773366,0.9114807033226633,3.0,3.0,3.0,1.0,1.0,1.0,0.8008970499483903,0.7975889095187826,0.804205190377998
C3_greedy,0.38244454249999993,0.3785326733520799,0.38635641164791995,0.21951649999999998,0.21355649644348565,0.2254765035565143,0.10908749999999998,0.10629845657754886,0.1118765434224511,0.9768200000000002,0.9733484115175144,0.9802915884824861,0.03207,0.03071887914436693,0.03342112085563307,1.143100625,1.1114440053173964,1.1747572446826036,1.2154495,1.1887735175280925,1.2421254824719077,1.0324775,1.008180199937194,1.0567748000628059,1.0324775,1.008180199937194,1.0567748000628059,0.8883428972738754,0.8857248036018698,0.890960990945881
P0_heuristic,0.6147958775,0.6113821454837807,0.6182096095162193,0.36181025,0.35847192901750496,0.36514857098249504,0.133925,0.13265602396345968,0.1351939760365403,0.9125724999999999,0.9095198189030277,0.9156251810969721,0.027622499999999994,0.023048370483404274,0.032196629516595715,1.9734113750000002,1.9681265503893777,1.9786961996106227,1.39111225,1.387373800356506,1.394850699643494,2.3169325,2.310780725252912,2.3230842747470883,1.2192325,1.2162777475939601,1.2221872524060398,0.8532488460058689,0.8520587372591056,0.8544389547526322
P1_bellman,0.375174595,0.37148002629150684,0.37886916370849316,0.21454524999999997,0.21072946392364153,0.2183610360763584,0.10876,0.10614309650541706,0.11137690349458293,0.9757675000000001,0.9737762987218331,0.9777587012781671,0.03174250000000001,0.030309337971050034,0.03317566202894998,1.1586155000000002,1.1362323886909198,1.1809986113090807,1.1191948749999998,1.1065338180765683,1.1318559319234314,1.0643825000000002,1.056565305212494,1.0721996947875065,0.9147025,0.9064859038321498,0.9229190961678502,0.8885440920294168,0.8859309453272024,0.8911572387316311
P1_no_verifier,0.70553213,0.7016224142386505,0.7094418457613496,0.58908775,0.5845887777821023,0.5935867222178978,0.15889000000000003,0.15720638705156603,0.16057361294843403,0.8125825000000001,0.806094692798028,0.8190703072019722,0.007575,0.007308028756856901,0.007841971243143099,0.8320545000000001,0.8129073471426097,0.8512016528573906,0.8309732499999999,0.8181503984523447,0.843796101547655,1.111575,1.092099521274009,1.131050478725991,0.7814425000000002,0.7715876062475207,0.7912973937524796,0.8044672324830406,0.8032490319446148,0.8056854330214664
P1_no_elicitor,0.5177873325,0.514378225643796,0.521196439356204,0.378904,0.37484030322942435,0.3829676967705757,0.101185,0.09850254588890522,0.10386745411109477,0.825795,0.8239952346977364,0.8275947653022635,0.0241675,0.02280529252873898,0.025529707471261022,1.061133375,1.0385537459126692,1.0837130040873308,0.819249875,0.8062512689563236,0.8322484810436764,0.9144100000000002,0.9061166085961183,0.922703391403882,0.7647299999999999,0.7560511320698251,0.7734088679301747,0.8774762473230305,0.8743103434071192,0.8806421512389419
P1_no_diverse,0.3814368725,0.37702255554383596,0.3858511894561641,0.2197715,0.2154214089093678,0.2241215910906322,0.10779000000000001,0.1066492842043808,0.10893071579561922,0.9723649999999999,0.9691084602059061,0.9756215397940937,0.03246,0.03193643563160455,0.03298356436839545,1.1723451250000003,1.1684340399862436,1.176256210013757,1.1107714999999998,1.1036207171736363,1.1179222828263633,1.0406875000000002,1.0340921190136636,1.0472828809863368,0.8910075,0.8845012391157306,0.8975137608842693,0.8891479000241864,0.8880662522304884,0.8902295478178844
P1_independence,0.373729545,0.3701011264929624,0.3773579635070376,0.21219775000000002,0.20847319558233773,0.2159223044176623,0.10839999999999998,0.10578651947249167,0.1110134805275083,0.9725325,0.9712006964469933,0.9738643035530068,0.031382499999999994,0.02989740984929779,0.032867590150702196,1.1673342500000001,1.1500665612468535,1.1846019387531468,1.11995925,1.1100975944267228,1.129820905573277,1.0693475,1.0651903272929868,1.073504672707013,0.9196675000000001,0.9157085116302525,0.9236264883697477,0.888540934169403,0.8858810721387881,0.891200796200018
P1_force_budget,0.5815192924999999,0.5777194317874307,0.5853191532125691,0.21023475000000005,0.20648536813520563,0.21398413186479448,0.0405475,0.04004581292500068,0.04104918707499932,0.9666599999999999,0.964644481381169,0.9686755186188307,0.027944999999999998,0.02731530981867666,0.028574690181323335,3.1728768750000005,3.1662692835253496,3.1794844664746513,1.3499213749999999,1.3343385462768325,1.3655042037231673,4.0,4.0,4.0,1.01509,0.9933494010079239,1.036830598992076,0.9580534786549759,0.9575315683440574,0.9585753889658944
C3_greedy_batch,0.3815244425,0.37853393770383675,0.38451494729616326,0.213659,0.2102894833649924,0.21702851663500758,0.10835999999999998,0.10572538101626076,0.1109946189837392,0.9710249999999998,0.9685791400831572,0.9734708599168425,0.0313425,0.029872879950068792,0.03281212004993121,1.2412791250000001,1.2199095104654145,1.2626487395345858,1.0934382499999997,1.0813784138162221,1.1054980861837773,1.176885,1.1585039431562472,1.1952660568437528,0.8806199999999998,0.8737658175678625,0.8874741824321372,0.888411702621069,0.8857642988035189,0.8910591064386192
